Species,Longitude,Latitude
Aeshna affinis,13.43196621,55.71730542
Aeshna affinis,13.49257872,55.38629253
Aeshna affinis,13.17805017,55.37365138
Aeshna affinis,13.87813502,55.53188307
Aeshna affinis,12.82933881,55.38604864
Aeshna affinis,16.3987676,56.19501505
Aeshna affinis,18.67516068,57.38502734
Aeshna affinis,13.07321753,55.65571563
Aeshna affinis,13.35980396,55.34032149
Aeshna affinis,16.41403636,56.21488845
Aeshna affinis,13.38918415,55.85112785
Aeshna affinis,16.4386186,56.22756235
Aeshna affinis,14.13313124,56.07012415
Aeshna affinis,13.50977768,55.8961859
Aeshna caerulea,12.31868552,62.09625318
Aeshna caerulea,12.89924512,63.15993491
Aeshna caerulea,12.36948285,62.15870019
Aeshna caerulea,12.47641777,62.18159904
Aeshna caerulea,12.38910207,60.89717639
Aeshna caerulea,17.78573546,67.0245709
Aeshna caerulea,16.44492897,67.35418473
Aeshna caerulea,18.46671119,62.93019682
Aeshna caerulea,18.42525159,65.56794886
Aeshna caerulea,15.70484069,57.00011858
Aeshna caerulea,21.07621885,68.45662469
Aeshna caerulea,18.8106291,68.33724389
Aeshna caerulea,14.0382992,64.77283405
Aeshna caerulea,22.515714,68.4341316
Aeshna caerulea,20.03116471,66.04649541
Aeshna caerulea,17.1414898,58.92067448
Aeshna caerulea,16.06983833,62.5844706
Aeshna caerulea,17.69231241,62.4158477
Aeshna caerulea,19.87429993,66.78148256
Aeshna caerulea,12.40947233,63.22090065
Aeshna caerulea,12.32646859,63.18296442
Aeshna caerulea,15.18266612,62.48535143
Aeshna caerulea,22.2384537,66.05034927
Aeshna caerulea,13.02051112,62.80432609
Aeshna caerulea,13.32261864,60.56772972
Aeshna caerulea,13.25968979,60.6165607
Aeshna caerulea,21.42086073,66.33627165
Aeshna caerulea,13.1667926,63.26486558
Aeshna caerulea,18.23963292,68.45922719
Aeshna caerulea,14.42277417,61.04631008
Aeshna caerulea,15.20364565,62.56882545
Aeshna caerulea,13.23217518,60.63949562
Aeshna caerulea,17.39715391,62.21140638
Aeshna caerulea,12.88879667,62.6664397
Aeshna caerulea,12.12734688,62.6265918
Aeshna caerulea,20.88427208,63.75662798
Aeshna caerulea,23.55114822,66.2975488
Aeshna caerulea,17.8267026,65.0750468
Aeshna caerulea,19.54443798,66.640121
Aeshna caerulea,19.36501006,66.63530865
Aeshna caerulea,12.51502288,61.02076129
Aeshna caerulea,20.62734561,65.40394517
Aeshna caerulea,20.66702511,65.54552249
Aeshna caerulea,18.48365023,68.44178076
Aeshna caerulea,18.78060969,68.33787387
Aeshna caerulea,19.94598269,66.17763768
Aeshna caerulea,18.85161624,68.31854053
Aeshna caerulea,21.64165678,67.98642248
Aeshna caerulea,17.25742898,65.14041046
Aeshna caerulea,12.48568324,63.30612512
Aeshna caerulea,21.13314412,68.36910701
Aeshna caerulea,20.83355597,66.26630373
Aeshna caerulea,21.48964266,66.35221234
Aeshna caerulea,20.35531781,68.97706262
Aeshna caerulea,16.69700906,67.3112939
Aeshna caerulea,16.4211871,67.36010217
Aeshna caerulea,19.95084948,66.74816624
Aeshna caerulea,21.10812664,66.56954977
Aeshna caerulea,14.52141545,65.11761703
Aeshna caerulea,15.88389359,62.68706666
Aeshna caerulea,18.83498091,68.33948802
Aeshna caerulea,16.09596732,66.78983965
Aeshna caerulea,18.2603959,68.43003602
Aeshna caerulea,15.48510542,56.91263776
Aeshna caerulea,15.17924337,56.84457257
Aeshna caerulea,15.28684025,56.92059852
Aeshna caerulea,20.52428365,65.18949636
Aeshna caerulea,17.9337001,60.19562609
Aeshna caerulea,21.3635763,66.34660628
Aeshna caerulea,22.90091632,67.36021042
Aeshna caerulea,19.22618968,64.2081975
Aeshna caerulea,12.08385919,62.64053181
Aeshna caerulea,17.51471568,65.64682134
Aeshna caerulea,17.28857406,62.14915722
Aeshna caerulea,12.2889954,62.55979429
Aeshna caerulea,23.24159609,67.40419826
Aeshna caerulea,21.12809867,66.52097183
