"Species","Longitude","Latitude"
"Aeshna affinis",13.43196621,55.71730542
"Aeshna affinis",13.49257872,55.38629253
"Aeshna affinis",13.17805017,55.37365138
"Aeshna affinis",13.87813502,55.53188307
"Aeshna affinis",12.82933881,55.38604864
"Aeshna affinis",16.3987676,56.19501505
"Aeshna affinis",18.67516068,57.38502734
"Aeshna affinis",13.07321753,55.65571563
"Aeshna affinis",13.38918415,55.85112785
"Aeshna affinis",14.13313124,56.07012415
"Aeshna caerulea",12.89924512,63.15993491
"Aeshna caerulea",12.47641777,62.18159904
"Aeshna caerulea",16.44492897,67.35418473
"Aeshna caerulea",18.46671119,62.93019682
"Aeshna caerulea",18.42525159,65.56794886
"Aeshna caerulea",15.70484069,57.00011858
"Aeshna caerulea",14.0382992,64.77283405
"Aeshna caerulea",20.03116471,66.04649541
"Aeshna caerulea",17.1414898,58.92067448
"Aeshna caerulea",16.06983833,62.5844706
"Aeshna caerulea",17.69231241,62.4158477
"Aeshna caerulea",19.87429993,66.78148256
"Aeshna caerulea",22.2384537,66.05034927
"Aeshna caerulea",13.02051112,62.80432609
"Aeshna caerulea",13.25968979,60.6165607
"Aeshna caerulea",13.1667926,63.26486558
"Aeshna caerulea",14.42277417,61.04631008
"Aeshna caerulea",15.20364565,62.56882545
"Aeshna caerulea",12.88879667,62.6664397
"Aeshna caerulea",12.12734688,62.6265918
"Aeshna caerulea",23.55114822,66.2975488
"Aeshna caerulea",17.8267026,65.0750468
"Aeshna caerulea",19.36501006,66.63530865
"Aeshna caerulea",12.51502288,61.02076129
"Aeshna caerulea",20.62734561,65.40394517
"Aeshna caerulea",20.66702511,65.54552249
"Aeshna caerulea",19.94598269,66.17763768
"Aeshna caerulea",21.64165678,67.98642248
"Aeshna caerulea",17.25742898,65.14041046
"Aeshna caerulea",21.13314412,68.36910701
"Aeshna caerulea",20.83355597,66.26630373
"Aeshna caerulea",16.69700906,67.3112939
"Aeshna caerulea",15.88389359,62.68706666
"Aeshna caerulea",15.48510542,56.91263776
"Aeshna caerulea",15.17924337,56.84457257
"Aeshna caerulea",15.28684025,56.92059852
"Aeshna caerulea",20.52428365,65.18949636
"Aeshna caerulea",21.3635763,66.34660628
"Aeshna caerulea",22.90091632,67.36021042
"Aeshna caerulea",19.22618968,64.2081975
"Aeshna caerulea",12.2889954,62.55979429
"Aeshna caerulea",23.24159609,67.40419826
"Aeshna caerulea",21.12809867,66.52097183
"Aeshna caerulea",14.43035646,63.77001522
"Aeshna caerulea",14.84066195,66.04519683
"Aeshna caerulea",18.52349144,64.66997826
"Aeshna caerulea",20.33980004,65.24911128
"Aeshna caerulea",17.91583249,60.20130357
"Aeshna caerulea",20.81457187,66.46435683
"Aeshna caerulea",19.73747547,63.70921726
"Aeshna caerulea",12.32945135,62.37246321
"Aeshna caerulea",18.83502581,66.71149534
"Aeshna caerulea",19.80822838,67.0344207
"Aeshna caerulea",20.19372939,69.03526263
"Aeshna caerulea",22.14647766,67.90671692
"Aeshna caerulea",21.50996325,67.8365563
"Aeshna caerulea",20.01348463,65.72938861
"Aeshna caerulea",20.05651084,67.94779633
"Aeshna caerulea",14.0069654,60.71631972
"Aeshna caerulea",12.35190775,62.03502642
"Aeshna caerulea",12.66754538,62.34897668
"Aeshna caerulea",16.5565272,63.29267512
"Aeshna caerulea",17.77550265,62.5127925
"Aeshna caerulea",14.0331651,57.75278407
"Aeshna caerulea",14.25178812,60.94343235
"Aeshna caerulea",15.87890277,64.53704722
"Aeshna caerulea",20.52025016,66.40755397
"Aeshna caerulea",20.87571645,63.78678758
"Aeshna caerulea",20.10833055,67.05557738
"Aeshna caerulea",20.39892663,68.96912736
"Aeshna caerulea",19.80823182,68.17794783
"Aeshna caerulea",19.67614066,66.49268454
"Aeshna caerulea",17.63764036,65.21080111
"Aeshna caerulea",17.5661523,65.47282144
"Aeshna caerulea",12.33104469,63.26902357
"Aeshna caerulea",13.82651403,62.75658694
"Aeshna caerulea",18.49975155,67.3823347
